Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21
Czy jest grafika,Obrazek z tekstu,Ile jest obrazków,Czy s? obrazki tylko online?,Kod zapisu obrazków offline,LIKE,LOVE,HUG,HAHA,WOW,CRY,WRR,Liczba komentarzy
1-0,1-0,liczba,1-0,LP_Koder,Liczba,Liczba,Liczba,Liczba,Liczba,Liczba,Liczba,Liczba
0,0,0,0,NA,1,,,,,,,10
1,0,1,0,NA,9,1,,,,,,3
1,0,1,0,488_A,5,,,,,,,
1,0,1,0,489_A,5,4,,,4,,,8
0,0,0,0,NA,2,1,,,,,,12
1,0,1,0,491_A,15,2,2,,,,,
1,0,1,0,492_A,23,10,,,,,,10
0,0,0,0,NA,1,,,,,,,1
1,0,1,0,494_A,7,1,,,,,,6
1,0,1,0,495_A,12,6,1,,,,,7
1,0,3,0,496_A,1,3,,4,2,,,
0,0,0,0,0,1,,,,,,,
1,0,1,0,498_A,,,,,,,,7
1,0,0,0,NA,,,,,,,,
0,0,0,0,0,,,,,,,,5
0,0,0,0,0,3,,,,,,,11
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,0,1,0,506_G,,,,,,,,
0,0,0,0,NA,2,,,,,,,52
1,0,1,0,508_G,2,,,,,,,
0,0,0,0,NA,,,,,,,,5
1,0,1,0,510_G,2,,,,,,,
1,0,9,0,511_G,19,2,,,,,,2
1,0,1,0,512_G,36,6,1,,,,,19
0,0,0,0,NA,2,,,,,,,28
1,0,28,1,NA,7,2,,,,,,1
1,0,1,0,515_G,17,6,,,,,,1
1,0,15,1,NA,14,2,,,,,,
1,0,1,0,517_G,,,,,,,,
1,0,1,0,518_G,3,,,,,,,
1,0,3,1,519_G,41,15,,,,,,15
1,0,1,0,520_G,8,1,,,,,,2
1,0,1,0,521_G,21,2,,,,,,13
1,0,17,1,522_G,3,,,,,,,
1,0,12,0,523_G,14,,,,,,,1
0,0,0,0,NA,,,,,,,,5
1,0,4,0,525_G,30,17,,,,,,29
1,0,1,0,526_G,10,,,,,,,11
1,0,1,0,527_G,18,3,,,,,,12
1,0,4,,528_G,6,,,,,,,8
1,0,1,0,529_G,10,,,,,,,11
0,0,0,0,NA,,,,,,,,26
1,0,3,0,531_G,3,,,,,,,14
0,0,0,0,NA,3,,,,,,,10
0,0,0,0,NA,2,1,,,,,,18
0,0,0,0,NA,,,,,,,,12
1,0,7,0,535_G,33,18,,,6,,,18
1,0,1,0,536_G,23,1,,9,,,,23
1,0,1,0,537_G,51,6,,,,,,14
1,0,1,0,538_G,10,2,,,,,,2
1,0,3,1,539_G,36,4,,,,,,12
1,0,36,1,NA,5,,,,,,,
1,0,3,0,541_G,37,5,,,,,,10
1,0,1,0,542_G,2,2,,4,,,,
1,0,8,0,543_G,76,9,1,,,,,14
1,1,1,1,NA,1,,,,,,,48
0,0,0,0,NA,2,,,,,,,85
1,0,1,0,546_G,,,,,,,,
0,0,0,0,NA,,1,,,,,,8
1,0,39,1,548_G,15,2,,,,,,
0,0,0,0,NA,,,,,,,,9
