,Z9,Z10,Z11,Z12,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21
149,1,0,0.012821,0,0.0075,0.010593,0.0,0.0,0.010101,0.0,0.0,1
150,0,0,0.0,0,0.003125,0.0,0.0,0.0,0.0,0.0,0.0,1
151,1,0,0.012821,0,0.0625,0.019068,0.0,0.0,0.010101,0.0,1.0,1
152,0,0,0.0,0,0.00125,0.0,0.008621,0.0,0.0,0.0,0.0,0
153,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
154,1,0,0.012821,1,0.328125,0.17161,0.0,0.0,0.191919,0.0,0.0,1
155,1,0,0.012821,0,0.016875,0.0,0.0,0.0,0.0,0.0,0.0,0
156,1,0,0.012821,0,0.02625,0.010593,0.0,0.0,0.0,0.0,0.0,1
157,1,0,0.012821,1,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0
158,1,0,0.012821,0,0.001875,0.0,0.0,0.0,0.0,0.0,0.0,0
159,1,0,0.038462,0,0.02625,0.0,0.0,0.0,0.0,0.0,0.0,1
160,1,0,0.012821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
161,0,0,0.0,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0
162,1,0,0.012821,0,0.089375,0.03178,0.0,0.012346,0.010101,0.0,0.0,1
163,0,0,0.0,0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,1
164,0,0,0.0,0,0.003125,0.0,0.0,0.0,0.0,0.0,0.0,1
165,1,0,0.012821,0,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,1
166,1,0,0.012821,0,0.005,0.002119,0.0,0.0,0.0,0.0,0.0,0
167,1,0,0.012821,1,0.06,0.063559,0.0,0.024691,0.020202,0.0,0.0,1
168,1,0,0.012821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
169,1,0,0.012821,0,0.398125,1.0,0.030172,0.0,0.020202,0.0,0.0,1
170,1,0,0.025641,1,0.001875,0.0,0.0,0.0,0.0,0.0,0.0,0
171,1,0,0.012821,0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0
172,0,0,0.0,0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0
173,1,0,0.012821,1,0.001875,0.004237,0.0,0.0,0.0,0.0,0.0,0
174,1,0,0.038462,1,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0
175,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
176,1,0,0.012821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
177,0,0,0.0,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,1
178,1,0,0.012821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
179,1,0,0.012821,0,0.003125,0.002119,0.0,0.0,0.0,0.0,0.0,0
180,1,1,0.0,1,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,1
181,0,0,0.0,0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0
182,0,0,0.0,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,1
183,1,0,0.012821,0,0.00125,0.002119,0.002155,0.0,0.0,0.0,0.0,1
184,0,0,0.0,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,1
185,0,0,0.0,0,0.000625,0.0,0.002155,0.0,0.0,0.0,0.0,1
186,1,0,0.025641,0,0.0275,0.004237,0.0,0.0,0.0,0.0,0.0,1
187,1,0,0.038462,0,0.019375,0.012712,0.0,0.0,0.0,0.0,0.0,1
188,0,0,0.0,0,0.003125,0.0,0.0,0.0,0.0,0.0,0.0,1
189,1,0,0.051282,0,0.013125,0.012712,0.0,0.0,0.0,0.0,0.0,1
190,0,0,0.0,0,0.005625,0.004237,0.002155,0.0,0.0,0.0,0.0,1
191,1,0,0.012821,0,0.10875,0.059322,0.0,0.0,0.0,0.0,0.0,1
192,1,0,0.012821,0,0.004375,0.004237,0.0,0.0,0.0,0.0,0.0,0
193,0,0,0.0,0,0.004375,0.002119,0.0,0.0,0.0,0.0,0.0,1
194,1,0,0.012821,0,0.02125,0.010593,0.0,0.0,0.0,0.0,0.0,1
195,1,0,0.012821,0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0
196,1,0,0.012821,0,0.11625,0.175847,0.0,0.0,0.010101,0.0,0.0,1
197,1,0,0.012821,0,0.006875,0.0,0.0,0.0,0.070707,0.0,0.0,1
198,1,0,0.064103,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0
199,1,0,0.012821,0,0.009375,0.002119,0.0,0.0,0.0,0.0,0.0,1
200,1,0,0.012821,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0
201,1,0,0.012821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
202,1,0,0.012821,0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0
203,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
204,1,0,0.012821,0,0.014375,0.010593,0.0,0.0,0.010101,0.0,0.0,0
205,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
206,1,0,0.102564,0,0.001875,0.0,0.0,0.0,0.0,0.0,0.0,0
207,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
208,1,0,0.012821,0,0.019375,0.010593,0.0,0.0,0.0,0.0,0.0,1
209,1,1,0.012821,1,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,1
210,0,0,0.0,0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0
211,1,0,0.24359,1,0.00375,0.002119,0.0,0.0,0.0,0.0,0.0,0
212,0,0,0.0,0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,1
213,1,0,0.012821,0,0.00125,0.002119,0.0,0.0,0.0,0.0,0.0,0
214,0,0,0.0,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,1
215,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
216,1,0,0.012821,0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0
217,0,0,0.0,0,0.004375,0.002119,0.0,0.0,0.0,0.0,0.0,1
218,1,0,0.012821,1,0.05375,0.04661,0.00431,0.0,0.0,0.0,0.0,1
219,1,0,0.064103,0,0.01,0.004237,0.0,0.0,0.0,0.0,0.0,1
220,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
221,0,0,0.0,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,1
222,0,0,0.0,0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,1
223,1,0,0.076923,1,0.0175,0.014831,0.0,0.0,0.0,0.0,0.0,1
224,1,0,0.24359,1,0.005,0.002119,0.0,0.0,0.0,0.0,0.0,0
225,1,0,0.294872,0,0.010625,0.0,0.0,0.0,0.0,0.0,0.0,1
226,1,0,0.012821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
227,1,0,0.012821,0,0.001875,0.0,0.0,0.0,0.0,0.0,0.0,0
228,1,0,0.038462,0,0.02625,0.008475,0.0,0.0,0.0,0.0,0.0,0
229,1,0,0.051282,0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0
230,0,0,0.0,0,0.001875,0.0,0.0,0.0,0.0,0.0,0.0,1
231,0,0,0.0,0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0
232,1,0,0.653846,1,0.016875,0.012712,0.0,0.0,0.0,0.0,0.0,0
233,0,0,0.0,0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,1
234,1,0,0.192308,1,0.0125,0.012712,0.0,0.0,0.0,0.0,0.0,0
235,1,0,0.064103,0,0.006875,0.004237,0.0,0.0,0.0,0.0,0.0,1
236,1,0,0.012821,1,0.015,0.0,0.002155,0.0,0.0,0.0,0.0,1
237,0,0,0.0,0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,1
238,1,0,0.141026,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
239,1,0,0.012821,0,0.015,0.012712,0.0,0.0,0.0,0.0,0.0,1
240,0,0,0.0,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,1
241,1,0,0.025641,1,0.05625,0.010593,0.0,0.012346,0.0,0.0,0.0,0
242,1,0,0.012821,0,0.03625,0.050847,0.0,0.0,0.010101,0.0,0.0,0
